Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,y_axis
BMW,2011,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,3916,46135,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
BMW,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,40650,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
BMW,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,36350,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
BMW,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18,3916,29450,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
BMW,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18,3916,34500,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
BMW,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18,3916,31200,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
BMW,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26,17,3916,44100,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
BMW,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,39300,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
BMW,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18,3916,36900,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27,18,3916,37200,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
BMW,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,39600,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,19,3916,31500,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
BMW,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,44400,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,37200,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,19,3916,31500,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
BMW,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,25,18,3916,48250,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
BMW,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,43550,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
Audi,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1992,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20,16,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1992,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21,16,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1993,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20,16,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1993,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21,16,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,21,16,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1994,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,22,16,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1994,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,22,17,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,22,16,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,21,16,3105,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,27495,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,24995,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,28195,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Mercedes-Benz,1991,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26,18,617,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Mercedes-Benz,1991,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25,17,617,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Mercedes-Benz,1992,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25,17,617,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Mercedes-Benz,1992,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26,18,617,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Mercedes-Benz,1993,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26,18,617,2000,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
